replicate,Q_hat_MW,x_f_hat_m,nll,evidence_label,decision_status
26,37.823191251036725,49.95214843749999,1.7226081551511039,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
27,34.560759243247944,49.98632812499999,2.37394442127368,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
28,40.06317817077806,50.02734375,3.0335036801080117,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
29,36.058367667098615,49.8359375,5.953509794800104,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
30,34.44300076901854,50.05468749999999,1.4009755714090093,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
31,32.77990787309465,50.095703125,1.3088077013604462,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
32,36.91223648010472,50.19140624999999,1.6947489539393292,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
33,36.26112373543586,50.01025390624999,3.3943484348659716,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
34,34.175343028773135,49.97265625,0.8181624684066753,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
35,36.741651691219886,49.986328125,0.6727965617876611,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
36,34.950522031750005,50.19140624999999,2.775336346523747,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
37,34.07550849128778,50.09570312499999,4.591758833531274,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
38,38.035870915874284,50.005126953125,1.4670065307496938,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
39,34.71275477691085,49.82910156250001,1.235618552862512,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
