,,s,s,s
    2000,2026-07-30T04:44:01.228+08:00, 0.255E-01,  63.04280, 0.30021E+02
    2100,2026-07-30T04:44:02.618+08:00, 0.316E-01,  65.98813, 0.31396E+02
    2200,2026-07-30T04:44:04.004+08:00, 0.291E-01,  68.89335, 0.32769E+02
    2300,2026-07-30T04:44:05.401+08:00, 0.271E-01,  71.76237, 0.34151E+02
    2400,2026-07-30T04:44:06.759+08:00, 0.287E-01,  74.65130, 0.35498E+02
    2500,2026-07-30T04:44:08.135+08:00, 0.314E-01,  77.37562, 0.36859E+02
    2600,2026-07-30T04:44:09.521+08:00, 0.318E-01,  80.28737, 0.38218E+02
    2700,2026-07-30T04:44:11.054+08:00, 0.298E-01,  83.21539, 0.39725E+02
    2800,2026-07-30T04:44:12.429+08:00, 0.289E-01,  86.09966, 0.41085E+02
    2900,2026-07-30T04:44:13.789+08:00, 0.301E-01,  89.00907, 0.42432E+02
    3000,2026-07-30T04:44:15.166+08:00, 0.278E-01,  91.92072, 0.43794E+02
    3100,2026-07-30T04:44:16.543+08:00, 0.302E-01,  94.80044, 0.45158E+02
    3200,2026-07-30T04:44:17.913+08:00, 0.302E-01,  97.82247, 0.46515E+02
    3300,2026-07-30T04:44:19.292+08:00, 0.319E-01, 100.90643, 0.47880E+02
    3400,2026-07-30T04:44:20.668+08:00, 0.293E-01, 103.74472, 0.49244E+02
    3500,2026-07-30T04:44:22.041+08:00, 0.277E-01, 106.71649, 0.50601E+02
    3600,2026-07-30T04:44:23.405+08:00, 0.270E-01, 109.67839, 0.51953E+02
    3700,2026-07-30T04:44:24.763+08:00, 0.285E-01, 112.68154, 0.53298E+02
    3800,2026-07-30T04:44:26.116+08:00, 0.313E-01, 115.78051, 0.54638E+02
    3900,2026-07-30T04:44:27.463+08:00, 0.302E-01, 118.75906, 0.55973E+02
    4000,2026-07-30T04:44:28.837+08:00, 0.281E-01, 121.70949, 0.57327E+02
    4100,2026-07-30T04:44:30.188+08:00, 0.268E-01, 124.62714, 0.58667E+02
    4200,2026-07-30T04:44:31.539+08:00, 0.295E-01, 127.49742, 0.60003E+02
    4300,2026-07-30T04:44:32.900+08:00, 0.315E-01, 130.54815, 0.61350E+02
    4400,2026-07-30T04:44:34.242+08:00, 0.309E-01, 133.59359, 0.62679E+02
    4500,2026-07-30T04:44:35.582+08:00, 0.340E-01, 136.69226, 0.64007E+02
    4600,2026-07-30T04:44:36.925+08:00, 0.302E-01, 139.62239, 0.65337E+02
    4700,2026-07-30T04:44:38.276+08:00, 0.293E-01, 142.57271, 0.66675E+02
    4800,2026-07-30T04:44:39.624+08:00, 0.322E-01, 145.63063, 0.68009E+02
    4900,2026-07-30T04:44:41.086+08:00, 0.318E-01, 148.67783, 0.69421E+02
    5000,2026-07-30T04:44:42.450+08:00, 0.312E-01, 151.81471, 0.70768E+02
    5100,2026-07-30T04:44:43.791+08:00, 0.300E-01, 154.81257, 0.72098E+02
    5200,2026-07-30T04:44:45.147+08:00, 0.326E-01, 157.93180, 0.73439E+02
    5300,2026-07-30T04:44:46.498+08:00, 0.291E-01, 161.10413, 0.74774E+02
    5400,2026-07-30T04:44:47.846+08:00, 0.315E-01, 164.12687, 0.76111E+02
    5500,2026-07-30T04:44:49.199+08:00, 0.268E-01, 167.08618, 0.77448E+02
    5600,2026-07-30T04:44:50.537+08:00, 0.275E-01, 169.97373, 0.78773E+02
    5700,2026-07-30T04:44:51.933+08:00, 0.265E-01, 172.92686, 0.80152E+02
    5800,2026-07-30T04:44:53.269+08:00, 0.316E-01, 175.83175, 0.81473E+02
    5900,2026-07-30T04:44:54.603+08:00, 0.282E-01, 178.92967, 0.82796E+02
    6000,2026-07-30T04:44:55.954+08:00, 0.304E-01, 181.96730, 0.84134E+02
    6100,2026-07-30T04:44:57.289+08:00, 0.291E-01, 184.88934, 0.85455E+02
    6200,2026-07-30T04:44:58.633+08:00, 0.316E-01, 187.91830, 0.86785E+02
    6300,2026-07-30T04:44:59.973+08:00, 0.309E-01, 190.85092, 0.88110E+02
    6400,2026-07-30T04:45:01.315+08:00, 0.309E-01, 193.94309, 0.89439E+02
    6500,2026-07-30T04:45:02.667+08:00, 0.334E-01, 197.03592, 0.90778E+02
    6600,2026-07-30T04:45:04.025+08:00, 0.317E-01, 200.09221, 0.92121E+02
    6700,2026-07-30T04:45:05.368+08:00, 0.313E-01, 203.19551, 0.93450E+02
    6800,2026-07-30T04:45:06.726+08:00, 0.270E-01, 206.27298, 0.94794E+02
    6900,2026-07-30T04:45:08.074+08:00, 0.291E-01, 209.18661, 0.96130E+02
    7000,2026-07-30T04:45:09.419+08:00, 0.320E-01, 212.21726, 0.97459E+02
    7100,2026-07-30T04:45:10.888+08:00, 0.286E-01, 215.35370, 0.98908E+02
    7200,2026-07-30T04:45:12.226+08:00, 0.308E-01, 218.30660, 0.10024E+03
    7300,2026-07-30T04:45:13.571+08:00, 0.303E-01, 221.54060, 0.10157E+03
    7400,2026-07-30T04:45:14.895+08:00, 0.303E-01, 224.57412, 0.10288E+03
    7500,2026-07-30T04:45:16.240+08:00, 0.297E-01, 227.81641, 0.10421E+03
    7600,2026-07-30T04:45:17.605+08:00, 0.320E-01, 230.94806, 0.10556E+03
    7700,2026-07-30T04:45:18.938+08:00, 0.311E-01, 234.01741, 0.10689E+03
    7800,2026-07-30T04:45:20.277+08:00, 0.311E-01, 237.12648, 0.10821E+03
    7900,2026-07-30T04:45:21.622+08:00, 0.306E-01, 240.18607, 0.10954E+03
    8000,2026-07-30T04:45:22.951+08:00, 0.306E-01, 243.24751, 0.11085E+03
    8100,2026-07-30T04:45:24.289+08:00, 0.306E-01, 246.30894, 0.11218E+03
    8200,2026-07-30T04:45:25.619+08:00, 0.337E-01, 249.39794, 0.11349E+03
    8300,2026-07-30T04:45:26.973+08:00, 0.300E-01, 252.66982, 0.11483E+03
    8400,2026-07-30T04:45:28.321+08:00, 0.330E-01, 255.69931, 0.11617E+03
    8500,2026-07-30T04:45:29.664+08:00, 0.299E-01, 258.75086, 0.11750E+03
    8600,2026-07-30T04:45:31.003+08:00, 0.322E-01, 261.84080, 0.11883E+03
    8700,2026-07-30T04:45:32.341+08:00, 0.319E-01, 264.91280, 0.12015E+03
    8800,2026-07-30T04:45:33.685+08:00, 0.319E-01, 268.10153, 0.12148E+03
    8900,2026-07-30T04:45:35.034+08:00, 0.315E-01, 271.20021, 0.12282E+03
    9000,2026-07-30T04:45:36.382+08:00, 0.315E-01, 274.34590, 0.12415E+03
    9100,2026-07-30T04:45:37.727+08:00, 0.315E-01, 277.49159, 0.12548E+03
    9200,2026-07-30T04:45:39.086+08:00, 0.274E-01, 280.50625, 0.12682E+03
    9300,2026-07-30T04:45:40.560+08:00, 0.293E-01, 283.44278, 0.12827E+03
    9400,2026-07-30T04:45:41.910+08:00, 0.290E-01, 286.31129, 0.12960E+03
    9500,2026-07-30T04:45:43.262+08:00, 0.314E-01, 289.37627, 0.13094E+03
    9600,2026-07-30T04:45:44.608+08:00, 0.305E-01, 292.40852, 0.13228E+03
    9700,2026-07-30T04:45:45.949+08:00, 0.300E-01, 295.40224, 0.13360E+03
    9800,2026-07-30T04:45:47.282+08:00, 0.318E-01, 298.48307, 0.13492E+03
    9848,2026-07-30T04:45:47.928+08:00, 0.240E-01, 300.00000, 0.13556E+03
