chid,subset,role,test_role,case_group,Q,U,Df,dx,L,W,H,x_fire,T_end,n_mesh_x,n_mesh_y,n_mesh_z,Uc_m_s,U_over_Uc,flow_layer,chi_r_assumed,critical_velocity_method,continuous_qdash_kW_m2,HRRPUA_kW_m2,dataset_group_id,cv_fold,access_policy,design_status,data_version,protocol_version,domain_scope,measurement_x_min_m,measurement_x_max_m,censoring_allowed,profile_target_policy,peak_target_policy,k_u_target_policy,k_d_target_policy,parameter_mask_required,scientific_confirmation_status,external_run_required,existing_result_path,result_source,reuse_chid,source_design_id,parent_chid,les_random_seed,random_seed_repeat_planned,design_reason,note
pilot_11_q100_r160_d70,development,pilot,,database_candidate,100.000000,4.818457,7.000000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,1.600000,strong,0.300,Li_2010_piecewise_preliminary,2598.448,2366.864,pilot_11_q100_r160_d70,0,MODEL_DEVELOPMENT_AFTER_GATES,REUSE_EXISTING_REAL_FDS_100M_V2,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,no,C:\Users\xiao.cheng\Desktop\科研\阶段一\outputs\pilot_input\pilot_11_q100_r160_d70,REUSE_EXISTING_FORMAL_PILOT_FDS_6.9.1,,stage2_pilot_candidate,,,no,上限功率强风边界且与下一行构成尺寸配对,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
pilot_12_q100_r160_d80,development,pilot,,database_candidate,100.000000,4.818457,8.000000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,1.600000,strong,0.300,Li_2010_piecewise_preliminary,1989.437,1777.778,pilot_12_q100_r160_d80,1,MODEL_DEVELOPMENT_AFTER_GATES,REUSE_EXISTING_REAL_FDS_100M_V2,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,no,C:\Users\xiao.cheng\Desktop\科研\阶段一\outputs\pilot_input\pilot_12_q100_r160_d80,REUSE_EXISTING_FORMAL_PILOT_FDS_6.9.1,,stage2_pilot_candidate,,,no,上限功率强风边界大尺寸配对,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
dev_13_strong,development,lhs_sample,,database_candidate,49.231408,3.801356,9.000000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,1.262265,strong,0.300,Li_2010_piecewise_preliminary,773.869,769.241,dev_13_strong,2,MODEL_DEVELOPMENT_AFTER_GATES,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_latin_hypercube,,,no,固定流态配额内的受约束 Latin hypercube 候选（seed=20260729）,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
dev_14_strong,development,lhs_sample,,database_candidate,17.185131,3.631996,3.000000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,1.206028,strong,0.300,Li_2010_piecewise_preliminary,2431.199,1909.459,dev_14_strong,3,MODEL_DEVELOPMENT_AFTER_GATES,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_latin_hypercube,,,no,固定流态配额内的受约束 Latin hypercube 候选（seed=20260729）,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
dev_15_no_wind,development,lhs_sample,,database_candidate,64.710151,0.000000,8.000000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,0.000000,no_wind,0.300,Li_2010_piecewise_preliminary,1287.368,1150.403,dev_15_no_wind,4,MODEL_DEVELOPMENT_AFTER_GATES,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_latin_hypercube,,,no,固定流态配额内的受约束 Latin hypercube 候选（seed=20260729）,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
dev_16_near_critical,development,lhs_sample,,database_candidate,41.511377,2.741735,5.500000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,0.910411,near_critical,0.300,Li_2010_piecewise_preliminary,1747.237,1660.455,dev_16_near_critical,0,MODEL_DEVELOPMENT_AFTER_GATES,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_latin_hypercube,,,no,固定流态配额内的受约束 Latin hypercube 候选（seed=20260729）,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
dev_17_near_critical,development,lhs_sample,,database_candidate,68.516663,2.829492,6.500000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,0.939551,near_critical,0.300,Li_2010_piecewise_preliminary,2064.808,1903.241,dev_17_near_critical,1,MODEL_DEVELOPMENT_AFTER_GATES,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_latin_hypercube,,,no,固定流态配额内的受约束 Latin hypercube 候选（seed=20260729）,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
dev_18_weak,development,lhs_sample,,database_candidate,73.828549,1.911039,6.750000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,0.634573,weak,0.300,Li_2010_piecewise_preliminary,2063.131,2050.793,dev_18_weak,2,MODEL_DEVELOPMENT_AFTER_GATES,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_latin_hypercube,,,no,固定流态配额内的受约束 Latin hypercube 候选（seed=20260729）,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
dev_19_near_critical,development,lhs_sample,,database_candidate,51.477380,2.634223,6.000000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,0.874711,near_critical,0.300,Li_2010_piecewise_preliminary,1820.640,1701.732,dev_19_near_critical,3,MODEL_DEVELOPMENT_AFTER_GATES,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_latin_hypercube,,,no,固定流态配额内的受约束 Latin hypercube 候选（seed=20260729）,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
dev_20_near_critical,development,lhs_sample,,database_candidate,31.358417,2.936609,6.250000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,0.975120,near_critical,0.300,Li_2010_piecewise_preliminary,1022.125,871.067,dev_20_near_critical,4,MODEL_DEVELOPMENT_AFTER_GATES,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_latin_hypercube,,,no,固定流态配额内的受约束 Latin hypercube 候选（seed=20260729）,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
dev_21_strong,development,lhs_sample,,database_candidate,71.859164,3.972060,6.000000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,1.318949,strong,0.300,Li_2010_piecewise_preliminary,2541.498,2375.510,dev_21_strong,0,MODEL_DEVELOPMENT_AFTER_GATES,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_latin_hypercube,,,no,固定流态配额内的受约束 Latin hypercube 候选（seed=20260729）,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
dev_22_strong,development,lhs_sample,,database_candidate,21.160249,3.880316,5.500000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,1.288484,strong,0.300,Li_2010_piecewise_preliminary,890.647,846.410,dev_22_strong,1,MODEL_DEVELOPMENT_AFTER_GATES,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_latin_hypercube,,,no,固定流态配额内的受约束 Latin hypercube 候选（seed=20260729）,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
